Rank,County,State,County Effect on Household Income
804,Lake,Minnesota,6.80%
805,Portage,Ohio,6.80%
806,Johnson,Iowa,6.80%
807,Overton,Tennessee,6.80%
808,Franklin,Indiana,6.80%
809,Clay,Indiana,6.80%
810,Independence,Arkansas,6.80%
811,Clay,Illinois,6.80%
812,Garrett,Maryland,6.70%
813,Woodbury,Iowa,6.70%
814,Summit,Colorado,6.70%
815,Clay,Missouri,6.70%
816,Pike,Pennsylvania,6.70%
817,Letcher,Kentucky,6.70%
818,Warren,New Jersey,6.70%
819,Van Wert,Ohio,6.70%
820,Texas,Missouri,6.70%
821,Macoupin,Illinois,6.70%
822,Decatur,Tennessee,6.60%
823,Johnson,Kansas,6.60%
824,Coffee,Alabama,6.60%
825,Mercer,Kentucky,6.60%
826,Adair,Missouri,6.60%
827,Hanover,Virginia,6.60%
828,Flathead,Montana,6.60%
829,Yell,Arkansas,6.60%
830,Champaign,Ohio,6.60%
831,Washington,Indiana,6.60%
832,Meigs,Ohio,6.50%
833,Presque Isle,Michigan,6.50%
834,Stone,Mississippi,6.50%
835,Middlesex,Massachusetts,6.50%
836,Logan,Arkansas,6.50%
837,Taylor,Texas,6.50%
838,Lancaster,Pennsylvania,6.50%
839,Scott,Virginia,6.50%
840,Lawrence,Illinois,6.40%
841,Jefferson,Iowa,6.40%
842,George,Mississippi,6.40%
843,Jackson,Texas,6.40%
844,Teller,Colorado,6.40%
845,Geauga,Ohio,6.40%
846,Boone,Indiana,6.40%
847,Augusta,Virginia,6.40%
848,Grayson,Virginia,6.30%
849,Riley,Kansas,6.30%
850,Madison,Virginia,6.30%
851,Lewis,Washington,6.30%
852,Clinton,Indiana,6.30%
853,McHenry,Illinois,6.30%
854,Jefferson,New York,6.20%
855,Livingston,New York,6.20%
856,Adams,Colorado,6.20%
857,Somerset,New Jersey,6.20%
858,Rensselaer,New York,6.20%
859,Tazewell,Virginia,6.20%
860,Stewart,Tennessee,6.20%
861,Warrick,Indiana,6.20%
862,Mason,Washington,6.10%
863,Mercer,Pennsylvania,6.10%
864,Oceana,Michigan,6.10%
865,Douglas,Missouri,6.10%
866,Vernon,Missouri,6.10%
867,Nicholas,West Virginia,6.10%
868,Sandusky,Ohio,6.10%
869,Jackson,Oklahoma,6.10%
870,Vernon,Louisiana,6.10%
871,Bonner,Idaho,6.00%
872,McDonald,Missouri,6.00%
873,Allen,Louisiana,6.00%
874,Hancock,Indiana,6.00%
875,Cascade,Montana,6.00%
876,Webster,West Virginia,6.00%
877,Herkimer,New York,5.90%
878,Franklin,Vermont,5.90%
879,Lincoln,Tennessee,5.90%
880,Pontotoc,Mississippi,5.90%
881,Howell,Missouri,5.90%
882,Lyon,Kansas,5.90%
883,Faulkner,Arkansas,5.90%
884,Muscatine,Iowa,5.90%
885,Johnson,Arkansas,5.90%
886,Silver Bow,Montana,5.90%
887,Polk,Arkansas,5.90%
888,Marshall,Kentucky,5.90%
889,Pend Oreille,Washington,5.90%
890,Linn,Iowa,5.90%
891,Pittsburg,Oklahoma,5.90%
892,Montgomery,Indiana,5.90%
893,Franklin,Washington,5.90%
894,Van Buren,Arkansas,5.90%
895,Nye,Nevada,5.80%
896,Caldwell,Kentucky,5.80%
897,Kendall,Texas,5.80%
898,Addison,Vermont,5.80%
899,Cherokee,Texas,5.80%
900,Tyler,Texas,5.70%
901,Chelan,Washington,5.70%
902,Noble,Indiana,5.70%
903,Middlesex,Connecticut,5.70%
904,Greene,Mississippi,5.70%
905,Perry,Illinois,5.70%
906,Saline,Kansas,5.70%
907,Douglas,Washington,5.70%
908,Tillman,Oklahoma,5.70%
909,Douglas,Nevada,5.70%
910,Morrow,Oregon,5.70%
911,Warren,Illinois,5.70%
912,Fauquier,Virginia,5.70%
913,La Crosse,Wisconsin,5.70%
914,Warren,Virginia,5.60%
915,Evangeline,Louisiana,5.60%
916,Knox,Indiana,5.60%
917,Macomb,Michigan,5.60%
918,Belmont,Ohio,5.60%
919,Crook,Oregon,5.60%
920,Delaware,New York,5.60%
921,Clinton,Pennsylvania,5.60%
922,Cass,Texas,5.60%
923,Aroostook,Maine,5.60%
924,La Salle,Illinois,5.60%
925,Cass,Indiana,5.60%
926,Morgan,Ohio,5.60%
927,San Mateo,California,5.60%
928,Oswego,New York,5.60%
929,McIntosh,Oklahoma,5.50%
930,Delaware,Oklahoma,5.50%
931,Starr,Texas,5.50%
932,Madison,New York,5.50%
933,Geneva,Alabama,5.50%
934,Butler,Kansas,5.50%
935,Burnett,Wisconsin,5.50%
936,Tishomingo,Mississippi,5.50%
937,Churchill,Nevada,5.40%
938,Cherokee,Kansas,5.40%
939,Jasper,Texas,5.40%
940,Calvert,Maryland,5.40%
941,Grayson,Kentucky,5.40%
942,Caddo,Oklahoma,5.40%
943,Morgan,Missouri,5.40%
944,Bannock,Idaho,5.40%
945,Crow Wing,Minnesota,5.40%
946,Orange,Indiana,5.40%
947,Lawrence,Alabama,5.30%
948,Windsor,Vermont,5.30%
949,Cleveland,Oklahoma,5.30%
950,Braxton,West Virginia,5.30%
951,Noble,Oklahoma,5.30%
952,Jefferson Davis,Louisiana,5.30%
953,Karnes,Texas,5.30%
954,Stone,Missouri,5.30%
955,Morgan,Kentucky,5.30%
956,Sharp,Arkansas,5.30%
957,Pennington,South Dakota,5.30%
958,Atascosa,Texas,5.30%
959,Harlan,Kentucky,5.20%
960,Northampton,Pennsylvania,5.20%
961,Jim Wells,Texas,5.20%
962,Vermillion,Indiana,5.20%
963,Stanislaus,California,5.20%
964,Alexandria City,Virginia,5.20%
965,Pike,Missouri,5.10%
966,Rio Grande,Colorado,5.10%
967,Perry,Mississippi,5.10%
968,Washington,Vermont,5.10%
969,Elmore,Idaho,5.10%
970,Monroe,Pennsylvania,5.10%
971,Crawford,Arkansas,5.10%
972,Montgomery,Kansas,5.10%
973,Williamson,Tennessee,5.00%
974,Johnson,Kentucky,5.00%
975,Stevens,Washington,5.00%
976,Crawford,Missouri,5.00%
977,Yuma,Arizona,5.00%
978,Plaquemines,Louisiana,5.00%
979,Morgan,Indiana,5.00%
980,Hudson,New Jersey,4.90%
981,Ripley,Missouri,4.90%
982,Clark,Illinois,4.90%
983,Sonoma,California,4.90%
984,Ellis,Texas,4.90%
985,Walla Walla,Washington,4.90%
986,Carbon,Pennsylvania,4.90%
987,Crenshaw,Alabama,4.90%
988,Wapello,Iowa,4.90%
989,Bartholomew,Indiana,4.90%
990,Susquehanna,Pennsylvania,4.90%
991,Jasper,Missouri,4.90%
992,Boone,Kentucky,4.90%
993,Hancock,Ohio,4.90%
994,Payette,Idaho,4.80%
995,Ramsey,Minnesota,4.80%
996,Polk,Missouri,4.80%
997,Greene,Arkansas,4.80%
998,Pottawatomie,Oklahoma,4.80%
999,Giles,Virginia,4.80%
1000,Anchorage,Alaska,4.80%
1001,Webster,Missouri,4.80%
1002,Rush,Indiana,4.80%
1003,Oconee,Georgia,4.80%
1004,Alamosa,Colorado,4.80%
1005,Fort Bend,Texas,4.80%
1006,Kosciusko,Indiana,4.80%
1007,Hardy,West Virginia,4.70%
1008,Okfuskee,Oklahoma,4.70%
1009,Windham,Connecticut,4.70%
1010,Berks,Pennsylvania,4.70%
1011,Houghton,Michigan,4.70%
1012,Ashland,Wisconsin,4.70%
1013,Milam,Texas,4.70%
1014,Oneida,Wisconsin,4.70%
1015,Wright,Missouri,4.70%
1016,Oneida,New York,4.70%
1017,Scott,Missouri,4.70%
1018,Chenango,New York,4.70%
1019,Clackamas,Oregon,4.70%
1020,Clay,Florida,4.70%
1021,Adair,Kentucky,4.70%
1022,Marion,Kentucky,4.70%
1023,DeKalb,Illinois,4.70%
1024,Webster,Iowa,4.60%
1025,Montgomery,Virginia,4.60%
1026,Newton,Texas,4.60%
1027,Hale,Texas,4.60%
1028,Grant,Kentucky,4.60%
1029,Logan,Kentucky,4.60%
1030,Elkhart,Indiana,4.60%
1031,Macon,Tennessee,4.60%
1032,Acadia,Louisiana,4.60%
1033,Fulton,Illinois,4.60%
1034,Putnam,West Virginia,4.50%
1035,Brooks,Texas,4.50%
1036,York,Pennsylvania,4.50%
1037,Warren,Missouri,4.50%
1038,Fairbanks North Star,Alaska,4.50%
1039,Cumberland,Maine,4.50%
1040,Essex,New York,4.50%
1041,Val Verde,Texas,4.50%
1042,Manassas City,Virginia,4.50%
1043,Dewitt,Texas,4.50%
1044,Carroll,Arkansas,4.50%
1045,Raleigh,West Virginia,4.50%
1046,Adams,Illinois,4.50%
1047,Carson City,Nevada,4.50%
1048,St Mary's,Maryland,4.50%
1049,Mifflin,Pennsylvania,4.50%
1050,Mineral,West Virginia,4.50%
1051,Putnam,Indiana,4.50%
1052,Page,Virginia,4.40%
1053,Dickinson,Michigan,4.40%
1054,Salt Lake,Utah,4.40%
1055,Boone,Arkansas,4.40%
1056,Madison,Arkansas,4.40%
1057,Bourbon,Kansas,4.40%
1058,Butler,Ohio,4.40%
1059,Limestone,Texas,4.40%
1060,Morrow,Ohio,4.40%
1061,Androscoggin,Maine,4.40%
1062,Wood,Ohio,4.40%
1063,Taylor,West Virginia,4.40%
1064,Ionia,Michigan,4.40%
1065,Orange,Virginia,4.40%
1066,Miami,Indiana,4.30%
1067,San Patricio,Texas,4.30%
1068,Union,Ohio,4.30%
1069,Brazoria,Texas,4.30%
1070,Piscataquis,Maine,4.30%
1071,Magoffin,Kentucky,4.30%
1072,Ohio,Kentucky,4.30%
1073,Hampshire,Massachusetts,4.30%
1074,Osage,Oklahoma,4.30%
1075,Wayne,Tennessee,4.30%
1076,Marion,Oregon,4.30%
1077,Jennings,Indiana,4.30%
1078,Franklin,Alabama,4.30%
1079,Windham,Vermont,4.20%
1080,Blaine,Idaho,4.20%
1081,Caldwell,Louisiana,4.20%
1082,Dale,Alabama,4.20%
1083,DeKalb,Tennessee,4.20%
1084,Siskiyou,California,4.20%
1085,Frederick,Virginia,4.20%
1086,Lincoln,Kentucky,4.20%
1087,Franklin,Massachusetts,4.20%
1088,St Joseph,Michigan,4.20%
1089,Union,Tennessee,4.20%
1090,Dawson,Texas,4.20%
1091,Cullman,Alabama,4.20%
1092,Lawrence,Pennsylvania,4.20%
1093,Henry,Kentucky,4.10%
1094,Whiteside,Illinois,4.10%
1095,Covington,Alabama,4.10%
1096,Cheshire,New Hampshire,4.10%
1097,Perry,Ohio,4.10%
1098,Shasta,California,4.10%
1099,New London,Connecticut,4.10%
1100,White,Georgia,4.10%
1101,Kittitas,Washington,4.10%
1102,Lafayette,Missouri,4.00%
1103,Washington,Alabama,4.00%
1104,Taylor,Kentucky,4.00%
1105,Huntington,Indiana,4.00%
1106,Newton,Missouri,4.00%
1107,Butler,Kentucky,4.00%
1108,Nelson,Kentucky,4.00%
1109,Effingham,Georgia,4.00%
1110,Franklin,Maine,4.00%
1111,Putnam,Tennessee,4.00%
1112,Tippah,Mississippi,3.90%
1113,Benton,Washington,3.90%
1114,Unicoi,Tennessee,3.90%
1115,Jefferson,Missouri,3.90%
1116,Muhlenberg,Kentucky,3.90%
1117,Harrison,Ohio,3.90%
1118,Thurston,Washington,3.90%
1119,Island,Washington,3.90%
1120,Williamson,Texas,3.90%
1121,Steuben,Indiana,3.90%
1122,Chambers,Texas,3.80%
1123,Pierce,Washington,3.80%
1124,Franklin,Illinois,3.80%
1125,Blount,Alabama,3.80%
1126,Providence,Rhode Island,3.80%
1127,Saratoga,New York,3.80%
1128,Yolo,California,3.80%
1129,Iron,Michigan,3.80%
1130,Delta,Michigan,3.80%
1131,Pendleton,Kentucky,3.80%
1132,Armstrong,Pennsylvania,3.80%
1133,Somerset,Maine,3.80%
1134,Grundy,Illinois,3.80%
1135,Albany,New York,3.80%
1136,Benton,Arkansas,3.80%
1137,Greenup,Kentucky,3.80%
1138,Powhatan,Virginia,3.70%
1139,Crawford,Kansas,3.70%
1140,Laclede,Missouri,3.70%
1141,Aransas,Texas,3.70%
1142,Calhoun,Texas,3.70%
1143,Lawrence,Indiana,3.70%
1144,Camp,Texas,3.70%
1145,Kern,California,3.70%
1146,Crawford,Indiana,3.70%
1147,Miller,Missouri,3.70%
1148,Sevier,Arkansas,3.60%
1149,Clatsop,Oregon,3.60%
1150,Logan,Ohio,3.60%
1151,Sullivan,New Hampshire,3.60%
1152,Ottawa,Ohio,3.60%
1153,Suwannee,Florida,3.60%
1154,Clallam,Washington,3.60%
1155,Boone,Illinois,3.60%
1156,Yavapai,Arizona,3.60%
1157,Allegan,Michigan,3.60%
1158,Whatcom,Washington,3.60%
1159,Saline,Missouri,3.60%
1160,Monmouth,New Jersey,3.60%
1161,Kay,Oklahoma,3.50%
1162,Douglas,Kansas,3.50%
1163,Polk,Texas,3.50%
1164,Lumpkin,Georgia,3.50%
1165,St Charles,Missouri,3.50%
1166,Carlton,Minnesota,3.50%
1167,Wise,Virginia,3.50%
1168,Chippewa,Michigan,3.50%
1169,Logan,Illinois,3.50%
1170,Burnet,Texas,3.50%
1171,Branch,Michigan,3.40%
1172,Baxter,Arkansas,3.40%
1173,Polk,Tennessee,3.40%
1174,Fremont,Wyoming,3.40%
1175,Titus,Texas,3.40%
1176,Tompkins,New York,3.40%
1177,Preble,Ohio,3.40%
1178,Clinton,New York,3.30%
1179,Liberty,Texas,3.30%
1180,Umatilla,Oregon,3.30%
1181,Arenac,Michigan,3.30%
1182,San Diego,California,3.30%
1183,Nez Perce,Idaho,3.30%
1184,Covington City,Virginia,3.30%
1185,Miami,Ohio,3.30%
1186,Catahoula,Louisiana,3.30%
1187,Rutland,Vermont,3.30%
1188,Comal,Texas,3.30%
1189,Dimmit,Texas,3.30%
1190,Lycoming,Pennsylvania,3.30%
1191,Bandera,Texas,3.30%
1192,Caledonia,Vermont,3.30%
1193,Phelps,Missouri,3.30%
1194,Paulding,Georgia,3.20%
1195,Marion,Alabama,3.20%
1196,Rutherford,Tennessee,3.20%
1197,Clark,Washington,3.20%
1198,Klickitat,Washington,3.20%
1199,Mariposa,California,3.20%
1200,Orleans,Vermont,3.20%
1201,Wilbarger,Texas,3.20%
1202,Hampshire,West Virginia,3.20%
1203,DeKalb,Indiana,3.20%
1204,Montgomery,Tennessee,3.20%
1205,Wabash,Indiana,3.20%
1206,Eaton,Michigan,3.20%
1207,Smith,Tennessee,3.20%
1208,Deaf Smith,Texas,3.20%
1209,Tuscola,Michigan,3.20%
1210,Lee,Illinois,3.10%
1211,Floyd,Indiana,3.10%
1212,Montour,Pennsylvania,3.10%
1213,Jefferson,Indiana,3.10%
1214,Lexington City,Virginia,3.10%
1215,Leelanau,Michigan,3.10%
1216,Ottawa,Oklahoma,3.10%
1217,Saline,Arkansas,3.10%
1218,Coles,Illinois,3.10%
1219,Galax City,Virginia,3.10%
1220,Floyd,Kentucky,3.10%
1221,Newport,Rhode Island,3.10%
1222,Harrison,Texas,3.10%
1223,Wilson,Texas,3.00%
1224,Brown,Texas,3.00%
1225,Fleming,Kentucky,3.00%
1226,Yates,New York,3.00%
1227,St Lawrence,New York,3.00%
1228,Barren,Kentucky,3.00%
1229,Lonoke,Arkansas,3.00%
1230,Callaway,Missouri,3.00%
1231,Malheur,Oregon,2.90%
1232,Washington,Oklahoma,2.90%
1233,Collin,Texas,2.90%
1234,Meigs,Tennessee,2.90%
1235,Davie,North Carolina,2.90%
1236,Otero,Colorado,2.90%
1237,Juneau,Alaska,2.90%
1238,Lee,Iowa,2.90%
1239,Stokes,North Carolina,2.90%
1240,Comanche,Oklahoma,2.90%
1241,Patrick,Virginia,2.90%
1242,Dade,Georgia,2.90%
1243,Stanly,North Carolina,2.90%
1244,Frio,Texas,2.90%
1245,Monongalia,West Virginia,2.90%
1246,Ritchie,West Virginia,2.80%
1247,Queen Anne's,Maryland,2.80%
1248,Kennebec,Maine,2.80%
1249,Brown,Indiana,2.80%
1250,Bedford,Virginia,2.80%
1251,Cape Girardeau,Missouri,2.80%
1252,Cumberland,Tennessee,2.80%
1253,Morgan,Tennessee,2.80%
1254,Amherst,Virginia,2.80%
1255,Santa Cruz,California,2.80%
1256,Greenbrier,West Virginia,2.80%
1257,Emmet,Michigan,2.80%
1258,Citrus,Florida,2.80%
1259,Licking,Ohio,2.70%
1260,Worcester,Massachusetts,2.70%
1261,Carter,Oklahoma,2.70%
1262,Owen,Indiana,2.70%
1263,Bee,Texas,2.70%
1264,Plumas,California,2.70%
1265,Des Moines,Iowa,2.70%
1266,Hennepin,Minnesota,2.70%
1267,Columbiana,Ohio,2.70%
1268,Maverick,Texas,2.70%
1269,Blackford,Indiana,2.70%
1270,Perry,Kentucky,2.70%
1271,San Luis Obispo,California,2.70%
1272,Knott,Kentucky,2.60%
1273,Sullivan,New York,2.60%
1274,Mackinac,Michigan,2.60%
1275,Calloway,Kentucky,2.60%
1276,Perry,Arkansas,2.60%
1277,Spotsylvania,Virginia,2.60%
1278,Tillamook,Oregon,2.60%
1279,Terrebonne,Louisiana,2.60%
1280,Kauai,Hawaii,2.60%
1281,Jay,Indiana,2.60%
1282,Hartford,Connecticut,2.60%
1283,Erie,New York,2.60%
1284,Seminole,Oklahoma,2.60%
1285,York,Virginia,2.60%
1286,Jefferson,Washington,2.60%
1287,Graves,Kentucky,2.60%
1288,Calhoun,Florida,2.60%
1289,Jefferson,Texas,2.60%
1290,Maricopa,Arizona,2.50%
1291,Yancey,North Carolina,2.50%
1292,Clark,Nevada,2.50%
1293,Chaves,New Mexico,2.50%
1294,Cayuga,New York,2.50%
1295,Yakima,Washington,2.50%
1296,Midland,Michigan,2.50%
1297,Dearborn,Indiana,2.40%
1298,Lawrence,Kentucky,2.40%
1299,Henry,Georgia,2.40%
1300,Desoto,Mississippi,2.40%
1301,Chilton,Alabama,2.40%
1302,Henderson,Tennessee,2.40%
1303,Tuolumne,California,2.40%
1304,Mason,West Virginia,2.40%
1305,Todd,Kentucky,2.30%
1306,Marion,Tennessee,2.30%
1307,Denton,Texas,2.30%
1308,Dane,Wisconsin,2.30%
1309,Monroe,Michigan,2.30%
1310,Wythe,Virginia,2.30%
1311,Itawamba,Mississippi,2.30%
1312,McNairy,Tennessee,2.20%
1313,Bryan,Georgia,2.20%
1314,West Carroll,Louisiana,2.20%
1315,Salem City,Virginia,2.20%
1316,Arapahoe,Colorado,2.20%
1317,Multnomah,Oregon,2.20%
1318,Skagit,Washington,2.10%
1319,Laurel,Kentucky,2.10%
1320,Montmorency,Michigan,2.10%
1321,Cecil,Maryland,2.10%
1322,Leavenworth,Kansas,2.10%
1323,McCurtain,Oklahoma,2.10%
1324,Delaware,Pennsylvania,2.10%
1325,Barry,Michigan,2.10%
1326,Gratiot,Michigan,2.10%
1327,Marin,California,2.10%
1328,Curry,New Mexico,2.10%
1329,Marion,West Virginia,2.10%
1330,Schuyler,New York,2.10%
1331,St Louis,Minnesota,2.10%
1332,Plymouth,Massachusetts,2.10%
1333,Prince Georges,Maryland,2.00%
1334,Tazewell,Illinois,2.00%
1335,Watauga,North Carolina,2.00%
1336,St Landry,Louisiana,2.00%
1337,Okaloosa,Florida,2.00%
1338,Habersham,Georgia,2.00%
1339,McDowell,West Virginia,2.00%
1340,St Joseph,Indiana,1.90%
1341,Lafourche,Louisiana,1.90%
1342,Washington,Arkansas,1.90%
1343,Pacific,Washington,1.90%
1344,Wetzel,West Virginia,1.90%
1345,Adams,Ohio,1.90%
1346,Kent,Rhode Island,1.90%
1347,Russell,Kentucky,1.90%
1348,De Witt,Illinois,1.90%
1349,Missoula,Montana,1.90%
1350,Pierce,Georgia,1.90%
1351,Charles Mix,South Dakota,1.90%
1352,Honolulu,Hawaii,1.90%
1353,Wharton,Texas,1.90%
1354,Collier,Florida,1.80%
1355,Sabine,Louisiana,1.80%
1356,Smith,Mississippi,1.80%
1357,Anne Arundel,Maryland,1.80%
1358,Sumner,Tennessee,1.70%
1359,St Clair,Michigan,1.70%
1360,Bond,Illinois,1.70%
1361,Marshall,Tennessee,1.70%
1362,Grainger,Tennessee,1.70%
1363,Pettis,Missouri,1.70%
1364,Santa Cruz,Arizona,1.70%
1365,Seneca,New York,1.70%
1366,Manistee,Michigan,1.70%
1367,Monroe,Indiana,1.70%
1368,Bayfield,Wisconsin,1.70%
1369,Lancaster,Nebraska,1.70%
1370,Choctaw,Oklahoma,1.70%
1371,Highland,Ohio,1.70%
1372,Cattaraugus,New York,1.70%
1373,Carroll,New Hampshire,1.70%
1374,Ketchikan Gateway,Alaska,1.70%
1375,Roosevelt,New Mexico,1.70%
1376,Coos,Oregon,1.60%
1377,Clay,Alabama,1.60%
1378,Johnson,Missouri,1.60%
1379,Cherokee,Oklahoma,1.60%
1380,Jackson,Alabama,1.60%
1381,Santa Clara,California,1.60%
1382,Taney,Missouri,1.60%
1383,Greene,Missouri,1.60%
1384,Asotin,Washington,1.60%
1385,Stephenson,Illinois,1.60%
1386,St Francois,Missouri,1.60%
1387,Jefferson,Tennessee,1.60%
1388,Livingston,Louisiana,1.50%
1389,Douglas,Wisconsin,1.50%
1390,Barnstable,Massachusetts,1.50%
1391,Venango,Pennsylvania,1.50%
1392,Mason,Illinois,1.50%
1393,Chester,Tennessee,1.50%
1394,Tippecanoe,Indiana,1.50%
1395,Steuben,New York,1.50%
1396,Grafton,New Hampshire,1.50%
1397,Santa Barbara,California,1.50%
1398,Nueces,Texas,1.50%
1399,Yuba,California,1.50%
1400,Lamoille,Vermont,1.40%
1401,King William,Virginia,1.40%
1402,Randolph,North Carolina,1.40%
1403,Hardin,Kentucky,1.40%
1404,Calcasieu,Louisiana,1.40%
1405,Josephine,Oregon,1.40%
1406,Kleberg,Texas,1.40%
1407,Pulaski,Arkansas,1.40%
1408,Charles,Maryland,1.40%
1409,Lawrence,Tennessee,1.40%
1410,Rhea,Tennessee,1.40%
1411,Gladwin,Michigan,1.40%
1412,Logan,West Virginia,1.40%
1413,Pinellas,Florida,1.40%
1414,Harrison,Kentucky,1.40%
1415,Currituck,North Carolina,1.40%
1416,Fayette,Alabama,1.40%
1417,Lamar,Alabama,1.40%
1418,Jackson,North Carolina,1.40%
1419,Greene,New York,1.40%
1420,Medina,Texas,1.30%
1421,Burleson,Texas,1.30%
1422,Waller,Texas,1.30%
1423,Union,Illinois,1.30%
1424,Washington,Rhode Island,1.30%
1425,Hall,Georgia,1.30%
1426,Surry,North Carolina,1.30%
1427,Madison,North Carolina,1.30%
1428,Klamath,Oregon,1.30%
1429,San Jacinto,Texas,1.20%
1430,Dixie,Florida,1.20%
1431,Sagadahoc,Maine,1.20%
1432,Carroll,Kentucky,1.20%
1433,Wayne,West Virginia,1.20%
1434,Sebastian,Arkansas,1.20%
1435,Dickson,Tennessee,1.20%
1436,Solano,California,1.20%
1437,Morris,Texas,1.20%
1438,Wayne,New York,1.10%
1439,Bennington,Vermont,1.10%
1440,San Francisco,California,1.10%
1441,Benton,Tennessee,1.10%
1442,Winston,Alabama,1.10%
1443,Edgar,Illinois,1.10%
1444,Union,New Jersey,1.10%
1445,Black Hawk,Iowa,1.10%
1446,Union,Mississippi,1.10%
1447,Ogemaw,Michigan,1.00%
1448,Hardin,Ohio,1.00%
1449,Larimer,Colorado,1.00%
1450,Rock,Wisconsin,1.00%
1451,Amador,California,1.00%
1452,Grayson,Texas,0.90%
1453,Nelson,Virginia,0.90%
1454,Leake,Mississippi,0.90%
1455,Assumption,Louisiana,0.90%
1456,Merrimack,New Hampshire,0.90%
1457,Winchester City,Virginia,0.90%
1458,Isle Of Wight,Virginia,0.90%
1459,Guernsey,Ohio,0.90%
1460,Suffolk,New York,0.90%
1461,Little River,Arkansas,0.90%
1462,Brown,Ohio,0.90%
1463,Morgan,West Virginia,0.80%
1464,Lincoln,New Mexico,0.80%
1465,Carroll,Virginia,0.80%
1466,Knox,Kentucky,0.80%
1467,Coryell,Texas,0.80%
1468,Jackson,West Virginia,0.80%
1469,Bryan,Oklahoma,0.80%
1470,Penobscot,Maine,0.80%
1471,Macon,North Carolina,0.80%
1472,Morris,New Jersey,0.80%
1473,Terry,Texas,0.80%
1474,Schoharie,New York,0.70%
1475,Washington,Florida,0.70%
1476,Walker,Alabama,0.70%
1477,Fulton,New York,0.70%
1478,Inyo,California,0.70%
1479,Mercer,New Jersey,0.70%
1480,Cochise,Arizona,0.70%
1481,Clinton,Ohio,0.70%
1482,Okeechobee,Florida,0.70%
1483,Gilmer,Georgia,0.70%
1484,Amelia,Virginia,0.70%
1485,Clare,Michigan,0.70%
1486,Beaver,Pennsylvania,0.70%
1487,Washington,Ohio,0.70%
1488,Allen,Kentucky,0.60%
1489,Avery,North Carolina,0.60%
1490,Brooke,West Virginia,0.60%
1491,Duval,Florida,0.60%
1492,McMinn,Tennessee,0.50%
1493,District Of Columbia,District Of Columbia,0.50%
1494,Charlotte,Virginia,0.50%
1495,Tioga,New York,0.50%
1496,Okanogan,Washington,0.50%
1497,Haywood,North Carolina,0.50%
1498,San Juan,Washington,0.50%
1499,Alexander,North Carolina,0.50%
1500,Benzie,Michigan,0.50%
1501,Gloucester,Virginia,0.50%
1502,Grand Traverse,Michigan,0.50%
1503,Williamson,Illinois,0.50%
1504,Pulaski,Missouri,0.50%
1505,Garrard,Kentucky,0.50%
1506,Conway,Arkansas,0.50%
1507,Grant,Louisiana,0.40%
1508,Monroe,Kentucky,0.40%
1509,Gonzales,Texas,0.40%
1510,Fayette,West Virginia,0.40%
1511,Daviess,Kentucky,0.40%
1512,Ocean,New Jersey,0.40%
1513,Alger,Michigan,0.40%
1514,Clark,Arkansas,0.40%
1515,Pulaski,Kentucky,0.40%
1516,Randolph,West Virginia,0.40%
1517,Newaygo,Michigan,0.40%
1518,Camden,Missouri,0.40%
1519,Swain,North Carolina,0.30%
1520,Curry,Oregon,0.30%
1521,Anderson,Tennessee,0.30%
1522,Tarrant,Texas,0.30%
1523,Scott,Tennessee,0.30%
1524,Massac,Illinois,0.30%
1525,Lewis,Kentucky,0.30%
1526,San Juan,New Mexico,0.30%
1527,Johnson,Indiana,0.30%
1528,Henderson,Texas,0.30%
1529,Simpson,Kentucky,0.30%
1530,Washington,Virginia,0.30%
1531,Angelina,Texas,0.30%
1532,Hickman,Tennessee,0.30%
1533,Wasco,Oregon,0.20%
1534,Charlotte,Florida,0.20%
1535,Glenn,California,0.20%
1536,Carroll,Tennessee,0.20%
1537,Hardee,Florida,0.20%
1538,Monterey,California,0.20%
1539,Rockcastle,Kentucky,0.10%
1540,Lee,Virginia,0.10%
1541,Lake,California,0.10%
1542,Wichita,Texas,0.10%
1543,Washington,Maryland,0.10%
1544,Chautauqua,New York,0.10%
1545,Polk,Oregon,0.10%
1546,Muskingum,Ohio,0.10%
1547,Robertson,Texas,0.10%
1548,Gogebic,Michigan,0.00%
1549,Campbell,Kentucky,0.00%
1550,Nacogdoches,Texas,0.00%
1551,Yadkin,North Carolina,0.00%
1552,Linn,Oregon,0.00%
1553,Webster,Louisiana,0.00%
1554,Ascension,Louisiana,0.00%
1555,Wagoner,Oklahoma,0.00%
1556,Whitley,Kentucky,0.00%
1557,Anderson,Texas,0.00%
1558,Fentress,Tennessee,-0.10%
1559,Woodford,Kentucky,-0.10%
1560,Allegany,Maryland,-0.10%
1561,Vinton,Ohio,-0.10%
1562,Jones,Mississippi,-0.10%
1563,Henderson,North Carolina,-0.10%
1564,Casey,Kentucky,-0.10%
1565,Highlands,Florida,-0.10%
1566,Monroe,Florida,-0.10%
1567,Hardin,Tennessee,-0.10%
1568,Kankakee,Illinois,-0.10%
1569,Kerr,Texas,-0.10%
1570,Duplin,North Carolina,-0.10%
1571,Jefferson,Illinois,-0.10%
1572,Ohio,West Virginia,-0.20%
1573,Weakley,Tennessee,-0.20%
1574,Lamar,Mississippi,-0.20%
1575,Union,Georgia,-0.20%
1576,Maui,Hawaii,-0.20%
1577,Carter,Kentucky,-0.20%
1578,Uvalde,Texas,-0.20%
